CustomerKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,Education,Occupation,AddressLine1,AddressLine2,Phone,DateFirstPurchase
30118,AW00029483,NULL,Jésus,L,Navarro,1965-06-06,M,M,jésus9@adventure-works.com,Bachelors,Clerical,"244, rue de la Centenaire",NULL,1 (11) 500 555-0141,2012-09-09
30117,AW00029482,NULL,Clayton,NULL,Zhang,1964-09-01,M,M,clayton0@adventure-works.com,Bachelors,Clerical,"1080, quai de Grenelle",NULL,1 (11) 500 555-0137,2012-09-18
30116,AW00029481,NULL,Ivan,NULL,Suri,1965-07-04,S,M,ivan0@adventure-works.com,Graduate Degree,Clerical,Knaackstr 4,NULL,1 (11) 500 555-0144,2011-08-13
30115,AW00029480,NULL,Nina,W,Raji,1977-05-06,S,F,nina21@adventure-works.com,Graduate Degree,Clerical,9 Katherine Drive,NULL,1 (11) 500 555-0146,2013-07-17
30114,AW00029479,NULL,Tommy,L,Tang,1969-06-30,M,M,tommy2@adventure-works.com,Graduate Degree,Clerical,"111, rue Maillard",NULL,1 (11) 500 555-0136,2012-09-04
30113,AW00029478,NULL,Darren,D,Carlson,1964-11-21,S,M,darren41@adventure-works.com,Graduate Degree,Clerical,5240 Premier Pl.,NULL,1 (11) 500 555-0132,2013-06-26
30112,AW00029477,NULL,Neil,N,Ruiz,1965-01-02,M,M,neil3@adventure-works.com,Partial College,Manual,P.O. Box 9178,NULL,1 (11) 500 555-0114,2013-06-18
30111,AW00029476,NULL,Elizabeth,NULL,Bradley,1964-12-30,M,F,elizabeth30@adventure-works.com,Partial College,Manual,Nonnendamm 2,NULL,1 (11) 500 555-0177,2011-07-21
30110,AW00029475,NULL,Jared,A,Ward,1976-03-18,S,M,jared6@adventure-works.com,Partial College,Manual,Erftplatz 876,NULL,1 (11) 500 555-0135,2011-06-29
30109,AW00029474,NULL,Jaime,B,Raje,1965-04-02,M,M,jaime36@adventure-works.com,Partial College,Manual,Potsdamer Straße 646,NULL,1 (11) 500 555-0174,2011-06-19
30108,AW00029473,NULL,Carmen,J,Subram,1965-11-19,S,F,carmen16@adventure-works.com,Partial College,Manual,6467 Buena Vista,NULL,1 (11) 500 555-0129,2013-06-03
30107,AW00029472,NULL,Lacey,M,Sharma,1965-09-11,M,F,lacey44@adventure-works.com,High School,Manual,"21, avenue Reille",NULL,1 (11) 500 555-0178,2013-09-01
30106,AW00029471,NULL,Dana,NULL,Ortega,1965-09-23,S,F,dana15@adventure-works.com,High School,Manual,"80, rue de Fontfroide",NULL,1 (11) 500 555-0148,2014-01-21
30105,AW00029470,NULL,Nathan,NULL,Roberts,1971-08-22,S,M,nathan33@adventure-works.com,High School,Manual,"29, boulevard Beau Marchais",NULL,1 (11) 500 555-0111,2013-12-05
30104,AW00029469,NULL,Dominique,M,Saunders,1977-10-20,M,F,dominique8@adventure-works.com,Graduate Degree,Clerical,3792 Westwood Ct.,NULL,1 (11) 500 555-0172,2013-06-16
30103,AW00029468,NULL,Jacqueline,H,Morris,1972-06-23,M,F,jacqueline43@adventure-works.com,Graduate Degree,Clerical,6934 Santa Cruz Dr.,NULL,1 (11) 500 555-0131,2013-06-04
30102,AW00029467,NULL,Monica,J,Mehta,1972-10-12,M,F,monica14@adventure-works.com,Graduate Degree,Clerical,Bundesallee 2461,NULL,1 (11) 500 555-0121,2011-06-04
30101,AW00029466,NULL,Lance,NULL,Jimenez,1949-05-25,M,M,lance5@adventure-works.com,Bachelors,Clerical,Auf Der Steige 532,NULL,1 (11) 500 555-0126,2011-06-15
30100,AW00029465,NULL,Roy,NULL,Gill,1982-12-17,S,M,roy33@adventure-works.com,Partial College,Manual,4072 South Hampton Road,NULL,1 (11) 500 555-0110,2013-10-20
30099,AW00029464,NULL,Eugene,NULL,Gao,1983-03-05,S,M,eugene19@adventure-works.com,High School,Manual,4581 Coldwater Drive,NULL,1 (11) 500 555-0177,2013-10-15
30098,AW00029463,NULL,Lucas,NULL,Gonzales,1984-02-17,S,M,lucas65@adventure-works.com,High School,Manual,6908 Woodchuck Pl.,NULL,1 (11) 500 555-0172,2013-10-09
30097,AW00029462,NULL,Clinton,NULL,Hernandez,1985-01-18,S,M,clinton0@adventure-works.com,Bachelors,Clerical,1733 Thistle Circle,NULL,1 (11) 500 555-0189,2013-09-30
30096,AW00029461,NULL,Colin,C,Xu,1983-04-08,M,M,colin28@adventure-works.com,High School,Manual,1654 Bonari Court,NULL,1 (11) 500 555-0146,2013-10-19
30095,AW00029460,NULL,Andres,E,Chander,1982-09-12,M,M,andres13@adventure-works.com,High School,Manual,6030 Double Court,NULL,1 (11) 500 555-0133,2013-09-06
30094,AW00029459,NULL,Marco,L,Malhotra,1982-11-01,S,M,marco5@adventure-works.com,High School,Manual,8168 Eaker Way,NULL,1 (11) 500 555-0172,2013-09-19
30093,AW00029458,NULL,Danny,M,Moreno,1982-08-24,S,M,danny7@adventure-works.com,High School,Manual,1170 Shaw Rd,NULL,1 (11) 500 555-0188,2013-09-14
30092,AW00029457,NULL,Cynthia,NULL,Kapoor,1984-01-25,S,F,cynthia5@adventure-works.com,Partial College,Manual,7045 Creekside Drive,NULL,1 (11) 500 555-0180,2013-09-12
30091,AW00029456,NULL,Lindsay,NULL,She,1983-12-25,S,F,lindsay0@adventure-works.com,Partial College,Manual,8241 Seawind Dr.,NULL,1 (11) 500 555-0142,2013-09-08
30090,AW00029455,NULL,Dawn,D,Zeng,1984-01-06,M,F,dawn23@adventure-works.com,Partial College,Manual,460 Skyline Dr,NULL,1 (11) 500 555-0161,2013-09-27
30089,AW00029454,NULL,Victoria,NULL,Bradley,1983-07-24,M,F,victoria31@adventure-works.com,Partial College,Manual,1227 Wesley Court,NULL,1 (11) 500 555-0125,2013-09-14
30088,AW00029453,NULL,Victor,R,Vazquez,1986-02-22,M,M,victor15@adventure-works.com,Bachelors,Clerical,9302 Blue Ridge,NULL,1 (11) 500 555-0194,2013-09-03
30087,AW00029452,NULL,Meredith,J,Romero,1984-11-19,S,F,meredith32@adventure-works.com,Partial College,Manual,8335 West Hookston Road,NULL,1 (11) 500 555-0187,2013-08-10
30086,AW00029451,NULL,Geoffrey,A,Lopez,1959-03-19,S,M,geoffrey14@adventure-works.com,Partial College,Manual,"5911, rue des Ecoles",NULL,1 (11) 500 555-0143,2013-02-08
30085,AW00029450,NULL,Bradley,R,Chande,1948-05-06,S,M,bradley17@adventure-works.com,Partial College,Manual,"1, place de Brazaville",NULL,1 (11) 500 555-0169,2012-09-16
30084,AW00029449,NULL,Laura,C,Chen,1946-12-04,S,F,laura9@adventure-works.com,Bachelors,Clerical,Winter der Böck 254,NULL,1 (11) 500 555-0166,2011-05-13
30083,AW00029448,NULL,Lindsey,J,Yuan,1947-05-28,S,F,lindsey7@adventure-works.com,Partial College,Manual,Carlsplatz 123,NULL,1 (11) 500 555-0147,2011-05-01
30082,AW00029447,NULL,Lindsay,K,Deng,1943-11-22,S,F,lindsay1@adventure-works.com,Bachelors,Clerical,"3535, rue des Grands Champs",NULL,1 (11) 500 555-0189,2013-12-26
30081,AW00029446,NULL,Jamie,P,Ma,1942-10-14,S,F,jamie19@adventure-works.com,Graduate Degree,Clerical,Alderweg 4518,NULL,1 (11) 500 555-0142,2013-12-01
30080,AW00029445,NULL,Bonnie,A,Lal,1943-03-27,S,F,bonnie14@adventure-works.com,Bachelors,Clerical,"539, avenue du Québec",NULL,1 (11) 500 555-0191,2013-09-07
30079,AW00029444,NULL,Beth,NULL,Blanco,1962-03-08,M,F,beth18@adventure-works.com,Bachelors,Clerical,7006 Royal Links Ct.,NULL,1 (11) 500 555-0174,2013-10-08
30078,AW00029443,NULL,Gabriel,R,Phillips,1962-02-25,S,M,gabriel36@adventure-works.com,Partial College,Manual,7669 Alpine Dr.,NULL,1 (11) 500 555-0114,2013-06-26
30077,AW00029442,NULL,Damien,M,Yuan,1969-08-30,S,M,damien24@adventure-works.com,Bachelors,Manual,Hellweg 4644,NULL,1 (11) 500 555-0195,2013-04-19
30076,AW00029441,NULL,Adriana,L,Patel,1942-02-01,M,F,adriana3@adventure-works.com,Graduate Degree,Clerical,Karl Liebknecht str 577,NULL,1 (11) 500 555-0125,2013-12-25
30075,AW00029440,NULL,Rafael,A,Cai,1967-04-09,S,M,rafael21@adventure-works.com,Graduate Degree,Clerical,Hellweg 4754,NULL,1 (11) 500 555-0129,2013-12-03
30074,AW00029439,NULL,Laura,M,Zhu,1972-10-12,M,F,laura19@adventure-works.com,Graduate Degree,Clerical,9621 Alamo Court,NULL,1 (11) 500 555-0197,2013-07-05
30073,AW00029438,NULL,Terrance,G,Fernandez,1972-07-14,M,M,terrance13@adventure-works.com,Graduate Degree,Clerical,Residenz Straße 944,Verkaufsabteilung,1 (11) 500 555-0133,2013-05-11
30072,AW00029437,NULL,Haley,A,Bell,1967-12-30,S,F,haley5@adventure-works.com,Graduate Degree,Clerical,"37, avenue de Norvege",NULL,1 (11) 500 555-0187,2013-09-27
30071,AW00029436,NULL,Adriana,C,Raman,1966-07-17,S,F,adriana13@adventure-works.com,Bachelors,Manual,Carlsplatz 4,NULL,1 (11) 500 555-0164,2013-04-30
30070,AW00029435,NULL,Stanley,NULL,Rodriguez,1968-05-10,M,M,stanley21@adventure-works.com,Bachelors,Manual,Zeiter Weg 2264,NULL,1 (11) 500 555-0166,2013-04-22
30069,AW00029434,NULL,Donna,D,Yuan,1968-03-31,M,F,donna6@adventure-works.com,Bachelors,Manual,Potsdamer Straße 646,NULL,1 (11) 500 555-0162,2013-04-03
30068,AW00029433,NULL,Thomas,M,King,1986-02-10,M,M,thomas55@adventure-works.com,Bachelors,Skilled Manual,6557 Artnell Ct.,NULL,1 (11) 500 555-0128,2013-04-05
30067,AW00029432,NULL,Gabrielle,E,Roberts,1981-01-04,M,F,gabrielle48@adventure-works.com,Bachelors,Skilled Manual,2657 Honey Trail Lane,NULL,1 (11) 500 555-0144,2013-04-07
30066,AW00029431,NULL,Marie,F,Gutierrez,1981-03-16,M,F,marie34@adventure-works.com,Bachelors,Skilled Manual,156 East Lake Court,NULL,1 (11) 500 555-0152,2013-03-07
30065,AW00029430,NULL,Donna,H,Goel,1981-05-03,S,F,donna17@adventure-works.com,Partial College,Clerical,Galeriestr 6818,NULL,1 (11) 500 555-0192,2013-08-24
30064,AW00029429,NULL,Marie,NULL,Suarez,1980-11-18,S,F,marie43@adventure-works.com,Partial College,Clerical,"6186, place du Tertre",NULL,1 (11) 500 555-0111,2013-12-12
30063,AW00029428,NULL,Kristopher,E,Perez,1979-12-09,M,M,kristopher20@adventure-works.com,Partial High School,Manual,Altendorfer Straße 39,Einkaufsabteilung,1 (11) 500 555-0183,2013-02-05
